,municipio,latitud,longitud
135,serranillos-del-valle,40.2044509,-3.8851988
136,sevilla-la-nueva,40.3475422,-4.0275268
137,somosierra,41.133207,-3.581478
138,soto-del-real,40.7534432,-3.7866573
139,talamanca-de-jarama,40.7454625,-3.5127366
140,tielmes,40.2465011,-3.3136206
141,titulcia,40.1379148,-3.5709978
142,torrejon-de-ardoz,40.4587767,-3.4793343
143,torrejon-de-la-calzada,40.2006804,-3.7993298
144,torrejon-de-velasco,40.1869283,-3.7769069
145,torrelaguna,40.8277273,-3.538293
146,torrelodones,40.5762809,-3.928603
147,torremocha-de-jarama,40.8358114,-3.4966866
148,torres-de-la-alameda,40.4021516,-3.360625
149,tres-cantos,40.6065826,-3.7065333
150,valdaracete,40.2107697,-3.1954758
151,valdeavero,40.6309749,-3.3329368
152,valdelaguna,40.1605777,-3.367827
153,valdemanco,40.8736636,-3.6636949
154,valdemaqueda,40.5110297,-4.2977731
155,valdemorillo,40.5016772,-4.0688878
156,valdemoro,40.1888604,-3.67143
157,valdeolmos-alalpardo,40.6385429,-3.4532436
158,valdepielagos,40.7610144,-3.4656251
159,valdetorres-de-jarama,40.6956481,-3.5146559
160,valdilecha,40.2926854,-3.3002096
161,valverde-de-alcala,40.4180359,-3.2996775
162,velilla-de-san-antonio,40.367166,-3.4874435
163,vellon-el,40.7677965,-3.5820099
164,venturada,40.7985257,-3.6207369
165,villaconejos,40.1040079,-3.4850284
166,villa-del-prado,40.2764752,-4.3048032
167,villalbilla,40.4323665,-3.2987815
168,villamanrique-de-tajo,40.0686973,-3.240078
169,villamanta,40.2990939,-4.1090399
170,villamantilla,40.3421033,-4.1300303
171,villanueva-de-la-canada,40.4472106,-4.002795
172,villanueva-del-pardillo,40.4949232,-3.9600065
173,villanueva-de-perales,40.3466066,-4.1012616
174,villar-del-olmo,40.3364465,-3.2355624
175,villarejo-de-salvanes,40.1683582,-3.2738764
176,villaviciosa-de-odon,40.3573787,-3.9002334
177,villavieja-del-lozoya,41.0063622,-3.6716291
178,zarzalejo,40.5392812,-4.1624845
